cid,present_locally,pinned,note
QmanDJ8oLSNZBgJf4YvnJfzD4sTJn7butDLYNMmjpfkPbC,yes,yes,
QmaoZgWY6C891gkDxxvMw9P9FX6BbEjzYS4X8CGFZxBMgu,yes,yes,
QmaqJmizyx4unDndQXR55UVFeA4FzGtdTBCAs23DRMFYma,yes,yes,already pinned
QmaqcLSrHGEAxy5YqmT68rAri6jHjXM8CRTd3XxtoveZKa,yes,yes,already pinned
QmasrkXk6AHUpd3XB24CitJEdxBtDsanR5wtxWEh5dA9zU,yes,yes,
QmauT6LbRCSPFzBSv7kqCNbkyoiYyW3H5ofqNc8GoETvag,yes,yes,already pinned
QmawfKivNwL8VM8JWbz9TWdV6he2TTWVDRXJz5PYyT8eRs,yes,yes,
Qmazw41DtQedUVYCFJn98uZW6xqo9s11vDu3MVqKvSWKyU,yes,yes,
Qmb7qAQJy4oBFLVH7nGfrSJWxLX8h9AhY4f2W4zWvYuyJ8,yes,yes,
Qmb9aZfNHHysvgmHk8GdGZLhBfQqPGYswdFRfGHNadqXRF,yes,yes,
QmbBE2Vb8za7ZoQLeVTpppWNvDmoq1kKszqMZfhPnBn7FR,yes,yes,
QmbBj9Gp3uPm5ZujoiMzcLjrbtutCWBro3eL6GebkADifQ,yes,yes,already pinned
QmbBrPWxctPDwjzA5KayhfYk134QuKucAaHib6G4dzFc2w,yes,yes,already pinned
QmbGaK1y2pZgm5me879QcdAUvNn5MzDtNTHP8Y75pwT8UL,yes,yes,already pinned
QmbHfhCUE73NQLkSJkCmkYeaiSTZRqCrj997QjBwqth2AZ,yes,yes,
QmbM6xrRn3ij2fBsCXfEEXCzybHKmeXuu49mgGrMeJfu9A,yes,yes,
QmbQ1vjaRd2iicsQto5NKqdUGXU2Uxz2RXR5hZBdHhkeF9,yes,yes,
QmbSvmZLA8bUN9ogxLGSgc5VJVUg8tSoAz1ZuZkwsdSPsC,yes,yes,
Qmbaqd5VAQ1badFWEA7ZYhEALJLYN5zvJqaRtjvLYNLNzr,yes,yes,
QmbbjF7R1iut4nyj6Lgx3ZbcL9YSgPwUQojFTeKULDAJk9,yes,yes,
QmbejEU7gwsZAqPJ5JLYQgj9Xt4oYVrqBFbsoTGrxuGLX4,yes,yes,
QmbgokdKgk4eTDs3aquegknk6HiT8JmkKeZSBqmRNSwaa3,yes,yes,
QmbmP72yePyajVnjPSgGN3mD6eFvbg43KKMoYico65s2hN,yes,yes,
Qmbq22G5V4gpEBmGHqgARsFKtd8n2EkoSvMoFZFodEduVx,yes,yes,already pinned
Qmc3rFjfYKAFopKKj1epdDbJRAGMw9jCd4rfhPv67P4Wyx,yes,yes,
Qmc87jmzN4oAMypx9yHk61w3CCniCcQ2VJwPfWEwzGMjzm,yes,yes,
QmcE3zwvKZwfXR1YCAy8sKAxQ9iYEfVvUd4fahRyiXQM2s,yes,yes,
QmcM7jJ4818dSPGpKwL9b6rzP6Bc7YnkASTdqAHT6BFGYs,yes,yes,
QmcMkBorLLywH4S5befeC1VjZ4GiUgRRhiDz6YfBjP2DMK,yes,yes,
QmcNpD61NmRNTvwgKxTbyfJs1mBsLS2nYiNacajW85PFMV,yes,yes,
QmcYZCfAKHmVhcM5Q4AGeDFxdfDmuUgi3rPkDKXdn13SbV,yes,yes,
QmcnnqECpmgePzauAebHwfJb2YM8oyM1CpoFoU1VNnspeW,yes,yes,
QmcrZomqnEzNxEMrv6sWqZAvDdrx5HTfDNdAb5pEqb5uJe,yes,yes,
Qmd3f8PTqvjZeV6k1TvVR5SUynV9EzMGiJpiagMCPqvQie,yes,yes,
QmdRVWJFkwdy9YCneUB5YtsrYXcTPRPS52JnFjStVqG7pQ,yes,yes,
QmdYLEACAqvLKau3eMWQCH278GeU48kFcbY14aqgHwzQ6B,yes,yes,
QmdZ2UQ2fHYMARGNZNagr41tEHKLsBAUKDZbp6vErymUSV,yes,yes,
