cid,present_locally,pinned,note
QmNNqDdcfccG5cwpdNHW91g27pKMWwx7T9sujqquWwgY3F,yes,yes,
QmNNqdDG9vuURtWrii7Bg6WYqP4HcNBNSmtCTKvPtuSJ4R,yes,yes,
QmNNqfKArCA3NM9jbQQEQxR9kmoDu7UEavwt1WYV7R2aiM,yes,yes,
QmNNsYCrYHF5wX7rpWG3jBx5NAeERsr7aChKZ3duDU3ywU,yes,yes,
QmNNuoqNF4EiwgewtTQpyjk3Gn9GnFDwwxfK193qVc9G9W,yes,yes,
QmNNvrsh5URJ7j3JhVmPJXP5Qx3poQzbfYWLkAdkTti7Ft,yes,yes,
QmNNxBufN98m19QdsY1k7arm4jjmCpxbFpFToDVHS7tTxB,yes,yes,
QmNNyYS5wDMv8fnCuSzBw2sEd7qfwryNFREWCCgbqMJwYn,yes,yes,
QmNNycBcyHvDD5aPUoeH7LCBAFuMrwUcXLj3YjgbEvbKrC,yes,yes,
QmNNysLiBGkVbBKcKP8LTBQtjsQGpR4fVonjc49DKGVxBo,yes,yes,
QmNP1XVsqpgmHC8CMfzx3hdRTbd6KaAV6HtS3uSRhU6Lgf,yes,yes,
QmNP241jKggGq7PZmokatXjUv16MDBwwJJJA5rwFb1N4Hy,yes,yes,
QmNP3GuHbN9QxvU5GMCKTL28c349azn5WPUE1adqmqz66K,yes,yes,
QmNP3Ti1x1Xr45v6ywdqcS5rjEzuK63MnbSJh832GeLzWY,yes,yes,
QmNP65WDQuKdzbJAHwbfEnKsDA8khMGsT72AbEmEFscaV7,yes,yes,
QmNP6P8e56M56EPs23GKjQmQBZxrV7x4xqfxiyVKsiZG1G,yes,yes,
QmNP6bRNw41wRAPYRcHN9EB6nyFsar3dK9BdEPKSLgndyx,yes,yes,
QmNP7Y2DAGL2MSFinJ3TezsSKVVH8TyAQCwVeuAnMdGx8R,yes,yes,
QmNP8Je9HZ94mfU2TafK3aTV2v9asLHM3RC57zLaKSisF1,yes,yes,
QmNP8ZycAziNcgQXbSmae8NmynbrN3WiHcDXgBwEFA8HSH,yes,yes,
QmNP8cJV8VQPfjXnrbZY6a6rdtf5zeKKo4uUZRxnCJ5khG,yes,yes,
QmNP8dnbatGQ6zBHfrUQdK8ssms8hn7o6mjzwJiXqezssB,yes,yes,
QmNP8tJrqK7f3qkqSMt3jPC4XuWFcnRWMGRvZFMQqg8PHR,yes,yes,
QmNP9AeVukMEwrLScyDTAnZxiqoLqzVE2J9NpWGLRyZZdE,yes,yes,
QmNPA3zRCvu8RvVf1jq6BYXC9utVUZ3HAcVNBEyL9cD6Je,yes,yes,
QmNPBkwoc1Ni6ucZvygTDfBGot4KE9K1ugXiFrzmwqF27L,yes,yes,
QmNPCwNyG2ihPQVVBBGxFYoeitujyv7gjRieVhqWcxBJEi,yes,yes,
QmNPDGbCmxkSkCuNW9tm3AhySJmrxs1A2KZtRBjvogs7fk,yes,yes,
QmNPDhJYVXkV6JQrQo7bCQxiTcB9cr7qqrC1DEXBFqZ3a6,yes,yes,
QmNPEBckirjpnAVXj4cTLhZDb4HQNBgADf4P6gYFMxYN5X,yes,yes,
QmNPGMAzioJH9XDequTxgeYbKW4jqQzZQYLwxvrNrpRxJS,yes,yes,
QmNPHCLmw71d8Axk2AvzwrQkWaYYRPr29duDbtevoeozRz,yes,yes,
QmNPHE7sWNvrv878nsoy4keLzFULFw8VUUoq1vaKWuytqq,yes,yes,
QmNPHyjC5D35xxEokRHLPLtmUVyGqAd1t7pxSKYrii952K,yes,yes,
QmNPKBmVu3WzBzQWS3NmSRx9S1B4XmtMYmw2Mpi6PbV7Wb,yes,yes,
QmNPLweqxrPbPQGHVSvikG2VtyvT4FMZ7nxjRXzN8ygxSA,yes,yes,
QmNPM5shkCGpWtFFtxWcALSF2puyaepCsKEDedZFEKcuvu,yes,yes,
QmNPMMv5E3uhUQsBrdMxJkzkmLXyimsy8zQLPFnnTXzyJf,yes,yes,
QmNPMPKg4v9SCcqF4iVr9MX8YmNdvXiGRVc6QXc1aZhxU5,yes,yes,
QmNPNqXEGPczxocQ1j2NBNEr7cfMARq3J1b2MTUobAS7nG,yes,yes,
QmNPNx5xFgvso4WREnFHWmAijnQcbcnXGKcy2xMXCCtVGe,yes,yes,
QmNPPc2oRELLQzeTdKzZvEQGyjPtZN9swqdkXy78h4tj2s,yes,yes,
QmNPQKhStw7ramhornZWQMTSQ37ktnUkZPGhG4vgsJdKJg,yes,yes,
QmNPRHZYcbzUqNu7nLrUNoQ3pAMZwSCKMrkbufEsAcPqhm,yes,yes,
QmNPRcdMnLi5eBXz7JYfh5ZEPzrvATQ6rCv3HToY8niY57,yes,yes,
QmNPRmJnjRE6y63pUxQHaLUj6nrpggUWYtvXeN7PajCLty,yes,yes,
QmNPRqWUrAKcWx52v38yjiNDMVMtWvtjFN54GcC8rzMH25,yes,yes,
QmNPSdHZTMURnmRmiaNdmmEpzqKvEC9CrVVAa1G5WTNbyo,yes,yes,
QmNPSdmr7PV2S42jEUrHcWX4Ww9LEL6mSsNf9fan6RjP6z,yes,yes,
QmNPUD3rHUaKDBvWT3F5V5SNNbeC1TgZFnTdTDg9CTyuTp,yes,yes,
QmNPUaEp1ygJrJCHks5njvYx6aUpKHMZDWtbZ5eCVZcLQt,yes,yes,
QmNPX1sVbu4wQMxJYmTeeLWo3ftv7xLyJvce6Rd4NMikjD,yes,yes,
QmNPXDyi3cjuVM6HDvj18FABE3aTHMLXkqvRk2LGSVuGTx,yes,yes,
