category,opensea_slug,opensea_url,bound_collection_uuid,uuid_your_api_returns_now,eth_contracts,os1_legacy_id,your_series_title,your_exhibition
1_live_series_in_your_mapping,environment-by-jared-s-tarbell,https://opensea.io/collection/environment-by-jared-s-tarbell,c6b9fe72-76f2-4c2e-93b5-5251a5b222f6,,,24557585,Environment,Field Guide
1_live_series_in_your_mapping,estroworld-now-the-quarantine-edition-by-mary-magg,https://opensea.io/collection/estroworld-now-the-quarantine-edition-by-mary-magg,522055e6-e5d8-41b5-8cad-9823c9666e2a,,,24557591,Estroworld Now: The Quarantine Edition,WETWARE
1_live_series_in_your_mapping,every-icon-blockprint-by-john-f-simon-jr,https://opensea.io/collection/every-icon-blockprint-by-john-f-simon-jr,c328998f-27d4-496f-acea-7c971416110e,,,24557693,Every Icon: BlockPrint,On Screen Presence
1_live_series_in_your_mapping,evolutionary-games-and-spatial-chaos-letters-to-na,https://opensea.io/collection/evolutionary-games-and-spatial-chaos-letters-to-na,f5d3ffb6-99fb-4c50-ac82-d9db3cfd3963,,,24557703,"Evolutionary Games and Spatial Chaos, Letters to Nature, 1992",Peer to Peer
1_live_series_in_your_mapping,ex-nihilo-by-casey-reas,https://opensea.io/collection/ex-nihilo-by-casey-reas,2b290b34-46db-4b14-b411-9b30f68ae208,,,,SIMULACRUM (E-P-02),Ex Nihilo
1_live_series_in_your_mapping,f-l-ight-by-tyler-hobbs,https://opensea.io/collection/f-l-ight-by-tyler-hobbs,1b1ffd48-5fc2-4d19-a563-364e00ddfb01,,,24557506,F(l)ight,–GRAPH
1_live_series_in_your_mapping,faunette-by-auriea-harvey,https://opensea.io/collection/faunette-by-auriea-harvey,527a291d-49f5-4ddc-81f6-0331f9e08be9,,,24557629,Faunette,Gray Matter
1_live_series_in_your_mapping,feralfemme-huntrezz-by-huntrezz-janos,https://opensea.io/collection/feralfemme-huntrezz-by-huntrezz-janos,3f8acc82-4e82-42d0-b677-80a50429ea37,,,29445900,FeralFemme Huntrezz,In Medias Res
1_live_series_in_your_mapping,fictional-lullaby-by-licia-he,https://opensea.io/collection/fictional-lullaby-by-licia-he,490e2542-daac-48c4-8407-bbd15eb9ab74,,,31010946,Fictional Lullaby,+GRAPH
1_live_series_in_your_mapping,filum-by-ella-hoeppner,https://opensea.io/collection/filum-by-ella-hoeppner,71e2bed5-e224-4ead-8fea-88a8cc067dbe,,,30971834,filum,Truth
