series_id,artworks_bytes,artworks_objects,previews_bytes,previews_objects
cddc55e9-15b1-453e-9f5f-359171be96b5,367693383,14,167897,22
ce3a3a9a-e894-40a1-b531-95027b1328eb,3281301843,6,160955467,1
ce7c5624-af01-4a1d-ad77-eee51cb54327,3943393139,5,7789326,1
cee5b80c-af17-44d0-9a56-c17a68f92569,385575528,30,180137028,1313
cf435a8a-c4df-4606-9acc-809217ab367b,1168015846,5,92033108,1
cf44b110-3b40-471a-8415-c805c80baae9,6604674,6,369343,10
cf4a1884-2d79-4875-bba1-20206a8a489c,367692406,14,167987,22
d0a3c28f-7e45-4a53-bb8a-ea8677f1da91,39167648425,8,211898061,4
d137c01a-2c3b-427e-8de4-a7e5677aaeda,120338890,6,20073976,2
d26432cc-df0d-42c3-94db-098332b438b6,1269938540,7,116008592,2
d35cdb38-917f-42f3-9914-e276dc5f0ded,284735286,5,8862759,1
d6e1e0f1-7a9d-46f1-a691-bf0604e755b5,8921888528,5,448171147,1
d7f80e10-a227-4272-bd58-2da08703d460,384444258,8,3925161,4
dc560d90-2d89-45be-a639-ebc3ab496f43,367692121,14,167987,22
dc8dddb8-7b4e-4d60-80da-071b92444514,571764919,5,53495988,22
de81b4e2-0ece-4969-bb0f-2adb62cb2d4e,76306294,5,5916307,1
de90a7b8-c71c-4ffd-8f3f-365796469bc0,8434485,5,1975904,1
df0fce01-b539-4e05-8087-68f3b371c8a8,4366027070,10,3453268,4
df6a7f8d-effe-4b0f-99e0-62a5924e5ee6,6430656,5,195526,5
e15a896b-84f6-442d-be9e-3faeb088bfb0,367691617,14,167987,22
e1b87ae6-d871-4e70-8df1-f9cd7dbd09f9,90102943,5,37469116,1
e362fa91-c218-45df-8167-d7e7c3440052,120116328,5,5234521,1
e496c840-27ce-4988-80a3-e99cd123d107,367688119,14,167897,22
e5437c4c-e32c-40e4-9b0a-074db2d11a6a,367691352,14,167858,22
e601569d-5611-4a82-93ba-a7f55b260001,1000001598,5,252201793,1
e6041b92-79ff-4ebe-a9b1-b9e7b089046d,68049597,5,12821282,2
e7252d16-c248-4de0-aade-433e9e7d2484,374273817,12,72059936,300
e885a572-1acc-4b0c-9c63-c3f8e49bd302,614241917,5,56884477,22
e9aab828-96ae-4d16-b155-6bb9fded9f34,99608479,5,5646733,1
e9c74592-8483-4511-adb2-16ef4730ca1a,365100175,8,40127,6
ebe3df0f-f765-410e-b2fa-edd39dcf5369,4031652964,11,2067250360,308
ec014e95-c9de-4d2e-b464-d95c3f7ae19c,410106146,5,39832689,22
ed25109e-3e36-429d-aafd-a9cd12f854fb,6604629,6,369341,10
edc8b7d3-e95c-4056-93d3-d29d1258195f,1094079730,5,547348371,390
ee826cf5-9273-4b58-850c-0615668d9e2d,6430922,5,195516,5
f004b2e2-91bf-4517-8815-faea12a3f062,367696647,14,167987,22
f00cd40d-0fe5-4805-953f-9a52ff6da2ac,58446695,5,13749134,1
f0750b82-282e-4eed-bdba-c4fb023fb684,6430651,5,195537,5
f0cf5ba9-4d45-45a7-aafa-a340ccb1dca8,317236074,5,158517584,388
f128ae45-67bf-41f7-bef6-cdb30ec3c02b,367691529,14,167987,22
f27c6217-e4c0-4f82-b8b7-d38c8653b0dd,805795966,5,46446727,1
f2db8c40-a2fb-4a93-be03-75ce3b3133f3,739952214,15,108537010,92
f3170ca8-2a0d-49ac-b307-d20fbfb15b0d,274974665,6,35449095,2
f421b0af-2ebc-4fa3-a9c1-de2ae7662c3e,367698114,14,167987,22
