cid,label,ipfs_io_ok,dweb_link_ok,ipfs_feralfile_com_ok
bafybeiaozarvquwdhcparzyqrcaekuam3umuilhlxf42vugi62y27hvxnq,bitmark-era-series: 36 Points #15,ok 200 text/html 1.2s,ok 200 text/html 1.1s,ok 200 text/html 0.9s
bafybeigy6l47vgui4z5f5cot2rpycspngari34ldf2ynecfwkeve3tmk74,bitmark-era-series: Rewilded Topography #1 ,ok 200 text/html 1.3s,ok 200 text/html 1.3s,ok 200 text/html 0.9s
bafybeicjxkhpyk5ojyw6zit6d4c4a6dwtybzkzrqp7hjb2ehwe36ei7oce,bitmark-era-series: Embryogenesis,ok 200 text/html 0.9s,ok 200 text/html 1.3s,ok 200 text/html 0.9s
bafybeicwhw2pl4zgedl3j7womi2muwsmsmveg4qi7i2k5jmlqpgpq7ea7u,bitmark-era-series: 36 Points #22,ok 200 text/html 1.0s,ok 200 text/html 1.4s,ok 200 text/html 0.9s
bafybeibe5hzxrgni2v6wbx6wybkirfs23wti77cy5pk3vdz4mzw3hsn3bi,bitmark-era-series: 36 Points #25,ok 200 text/html 1.0s,ok 200 text/html 1.3s,ok 200 text/html 0.9s
bafybeieeesftnsithyhto44i2vme2rfqls2auub4oa2r42kknqfa5a7vpi,bitmark-era-series: 36 Points #11,ok 200 text/html 1.2s,ok 200 text/html 1.2s,ok 200 text/html 0.9s
bafybeiglbibh37slgehm44l4l7j6fdbuu5xw2bmc6l3jxwf4h4yn63iu6u,bitmark-era-series: Unsupervised — Machine Hallucinations — MoMA Dreams — B,ok 200 text/html 1.3s,ok 200 text/html 1.2s,ok 200 text/html 0.9s
bafybeigzivh4xfvykmngitsonfrzla33wg5gyj4k6pseshjbgatebz6xmu,bitmark-era-series: Fragments of Self,ok 200 text/html 1.1s,ok 200 text/html 1.4s,ok 200 text/html 0.9s
bafybeifdrgmic7h3oco5cri7j2dm2xq3dkw7zkgwzlcliukxu3d3fxvf7u,bitmark-era-series: Daemon (chaos),ok 200 text/html 1.1s,ok 200 text/html 1.3s,ok 200 text/html 0.9s
bafybeigpqo26mvaxijlitvyifi5r2fzqwrpuafhuhwedhjcjqdutkkht3a,bitmark-era-series: Pixie,ok 200 text/html 0.9s,ok 200 text/html 1.3s,ok 200 text/html 0.9s
bafybeieibnz2w3g2lmrkerkw5s2fopsodkr7kuzwerxoowgxsq3zq2uhbu,bitmark-era-series: Infinite Entropy 1,ok 200 text/html 1.3s,ok 200 text/html 1.5s,ok 200 text/html 0.9s
bafybeiaf2flxg3beijmsvlvrgqvjvhccmu6htjri7iuntoa7ohmwhbijoq,bitmark-era-series: Mutant Bagua,ok 200 text/html 0.9s,ok 200 text/html 1.5s,ok 200 text/html 0.9s
bafybeicgodciymtufs265gzsoxcvfmct6yrlvlzywjtdqbb27t5fchr5ea,bitmark-era-series: hedgerow still life,ok 200 text/html 0.9s,ok 200 text/html 1.2s,ok 200 text/html 0.9s
bafybeiakqt6qkyt5zleohpnzfbgbjestpucdhgecl7t24x5vf6n4psa2li,bitmark-era-series: Infinite Entropy 12,ok 200 text/html 0.9s,ok 200 text/html 1.4s,ok 200 text/html 0.9s
bafybeiej5izkmfqfpurwz3yztupggjd5rgcp2jyp43kbqmsqsq4erghlwe,bitmark-era-series: Movie on 06-03-22 at 1.00 PM,ok 200 text/html 1.1s,ok 200 text/html 1.3s,ok 200 text/html 0.9s
bafybeielda3tqfkjdpjwqkbvmc476emexjp32nyjijex7vekdr3mrry2gm,bitmark-era-series: Just in case,ok 200 text/html 0.9s,ok 200 text/html 1.9s,ok 200 text/html 0.9s
bafybeieggigrkkj6ta5hhvpuppsnp63hepaaprbrfnyxettiwlu2zipzoe,"bitmark-era-series: Leaves of Manifold, of Red and Gold",ok 200 text/html 1.1s,ok 200 text/html 1.4s,ok 200 text/html 0.9s
bafybeieu2pn2d5jj2vdj5walkwxgraxf6fuwkxzqrlqfouwzgpfhldm6a4,bitmark-era-series: Contrafictionary,ok 200 text/html 1.1s,ok 200 text/html 1.3s,ok 200 text/html 0.9s
bafybeica5xymlytcddeqadjdcrtbfocjjefbs5n6xiq6hxoayugiagb67m,bitmark-era-series: 36 Points #12,ok 200 text/html 1.4s,ok 200 text/html 1.3s,ok 200 text/html 0.9s
bafybeicyfrsbg6t3xvcq7ybr5vjwkjpxtblhumvrqfl5uqssuwh46pyvla,bitmark-era-series: Unsupervised — Machine Hallucinations — MoMA Generative Study 1,ok 200 text/html 1.1s,ok 200 text/html 1.2s,ok 200 text/html 0.9s
