id,vendor_release_id,vendor_release_slug,name,total_mints
1534,a7bac3de-58bd-41df-bab2-bccfa4a536ad,ana-maria-caballero-cth,The Body Prepares,50
1535,45c0f2cc-eef6-43db-87a3-f9a51275e0ec,alexandra-crouwers-nbx,Some Last Questions,50
1537,87bf9fc7-cab0-4a60-ac73-6a210ddbbcbc,bian-hua-xun-huan-sonojian-noxing-changes-cycles-and-shapes-in-between-dal,"変化・循環・その間の形 / Changes, Cycles, and Shapes in Between",65
1538,a97afdeb-236a-4f49-94cb-0cf83e104e56,soliman-lopez-hvb,The Hybrid Branch,50
1539,ba7e377d-e19e-40ff-becc-eff1e2aac779,napster-24-1k2,Napster 24,24
1540,c746388e-44b7-43af-b9f9-03692476e845,gretta-louw-ova,Ghost Organ,50
1542,5f673d60-a2c0-4356-8bf9-09dc0d43f44b,synergistic-metropolis-4tv,Synergistic Metropolis,65
1543,f247bc81-b318-4682-9678-0107a53dd6ec,e-volved-formula-06-hjc,E-volved Formula #06,1
1544,ecc502ce-81ba-4ee2-b071-4a8de484aac8,metamultimouse-wzq,Metamultimouse,100
1545,c59d8e07-ad6c-44b1-8f62-f69e1af87378,aequitas-hal,Aequitas,100
1547,fe2a67d6-77da-49e5-b718-f1cde62325d8,human-era-flora-in-amber-8fo,Human-Era Flora In Amber,100
1549,c2f9493f-950a-4f0a-a196-b3d40d4880f7,kalen-iwamoto-jxw,Seed Words,50
1551,35612a18-d1fe-4ce7-99ca-b4d1626d2c6f,helena-sarin-bbw,Notes from a Hackberry Seed,50
1552,506e46e1-fe84-41eb-b72c-11420b3fda23,sasha-stiles-s2u,FERAL FONT: Neural Network Font Type (NNFT),50
1554,7c391da2-0eb8-484f-9542-5c5733ef632d,lizard-king-lye,Lizard King at Spa Day on the Neon Isles,40
1556,637b6ec0-9476-47b6-958b-8408ec774cd8,diane-drubay-fm5,Futurum Febris,50
1559,06858f9a-0331-46e8-9138-abec5b803695,fff-fractional-famous-face-ed8,FFF (Fractional Famous Face),100
1561,4e5e1cc5-3038-443b-8f5b-f35cab89811d,path-of-tones-a1j,Path of Tones,65
1562,6db3cd9a-e341-4cd1-8d11-7a4688f45dae,tin-y-pluri-fuw,Tin y Pluri,40
1563,37144d7f-5d83-42eb-935b-87a54413c424,dina-chang-jsh,Spring So Uneasy,50
1564,ccd387c2-4762-4037-8752-bbc223957199,nostalgia-jmc,Nostalgia,65
1566,e8f79d54-d0b3-4a19-8775-8ab7a3ce9f98,dactylogram-mlj,Dactylogram,128
1567,9849f146-aef6-4614-9f8e-6bbf82fba520,bindigrl-b3n,Bindigrl,80
